Job launching after 0.10 seconds in submission.
Running python job.
Changed into dir /home/ec2-user/HiggsBosonML/source_code
Importing hyper_opt.py
Running hyper_opt.main()
WARNING:tensorflow:From /home/ec2-user/HiggsBosonML/source_code/hyper_opt.py:143: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
{u'units_per_layer': array([275]), u'n_hidden_layers': array([5]), u'learning_rate': array([ 0.50005]), u'beta': array([ 50.05])}
('Epoch:', '0125', 'training cost=', '1563.445122192')
('Epoch:', '0125', 'test cost=', '0.640866637')
('Epoch:', '0126', 'training cost=', '1563.902864502')
('Epoch:', '0126', 'test cost=', '0.641117454')
('Epoch:', '0127', 'training cost=', '1563.680655640')
('Epoch:', '0127', 'test cost=', '0.644857347')
('Epoch:', '0128', 'training cost=', '1563.871325806')
('Epoch:', '0128', 'test cost=', '0.647286177')
('Epoch:', '0129', 'training cost=', '1563.775801025')
('Epoch:', '0129', 'test cost=', '0.644263506')
('Epoch:', '0130', 'training cost=', '1564.009906982')
('Epoch:', '0130', 'test cost=', '0.643040121')
('Epoch:', '0131', 'training cost=', '1563.610757446')
('Epoch:', '0131', 'test cost=', '0.641592622')
('Epoch:', '0132', 'training cost=', '1563.565192505')
('Epoch:', '0132', 'test cost=', '0.662522972')
('Epoch:', '0133', 'training cost=', '1564.484907593')
('Epoch:', '0133', 'test cost=', '0.643394709')
('Epoch:', '0134', 'training cost=', '1563.604246094')
('Epoch:', '0134', 'test cost=', '0.660629392')
('Epoch:', '0135', 'training cost=', '1564.428292236')
('Epoch:', '0135', 'test cost=', '0.641284704')
('Epoch:', '0136', 'training cost=', '1563.406700928')
('Epoch:', '0136', 'test cost=', '0.645020127')
('Epoch:', '0137', 'training cost=', '1563.376702515')
('Epoch:', '0137', 'test cost=', '0.644358575')
('Epoch:', '0138', 'training cost=', '1564.062797852')
('Epoch:', '0138', 'test cost=', '0.645162523')
('Epoch:', '0139', 'training cost=', '1563.927025757')
('Epoch:', '0139', 'test cost=', '0.642880201')
('Epoch:', '0140', 'training cost=', '1563.357348999')
('Epoch:', '0140', 'test cost=', '0.641548634')
('Epoch:', '0141', 'training cost=', '1564.432288330')
('Epoch:', '0141', 'test cost=', '0.643478215')
('Epoch:', '0142', 'training cost=', '1563.419333496')
('Epoch:', '0142', 'test cost=', '0.659556568')
('Epoch:', '0143', 'training cost=', '1564.208705322')
('Epoch:', '0143', 'test cost=', '0.641310215')
('Epoch:', '0144', 'training cost=', '1563.855077515')
('Epoch:', '0144', 'test cost=', '0.692970634')
('Epoch:', '0145', 'training cost=', '1563.789091797')
('Epoch:', '0145', 'test cost=', '0.641422927')
('Epoch:', '0146', 'training cost=', '1563.264692627')
('Epoch:', '0146', 'test cost=', '0.640969157')
('Epoch:', '0147', 'training cost=', '1563.361524658')
('Epoch:', '0147', 'test cost=', '0.644167006')
('Epoch:', '0148', 'training cost=', '1564.320264404')
('Epoch:', '0148', 'test cost=', '0.644089997')
('Epoch:', '0149', 'training cost=', '1564.050554565')
('Epoch:', '0149', 'test cost=', '0.645478666')
('Epoch:', '0150', 'training cost=', '1564.332273560')
('Epoch:', '0150', 'test cost=', '0.643737793')
('Epoch:', '0151', 'training cost=', '1564.342492310')
('Epoch:', '0151', 'test cost=', '0.641107678')
('Epoch:', '0152', 'training cost=', '1563.911141602')
('Epoch:', '0152', 'test cost=', '0.642059326')
('Epoch:', '0153', 'training cost=', '1563.819879517')
('Epoch:', '0153', 'test cost=', '0.646480560')
('Epoch:', '0154', 'training cost=', '1563.447518555')
('Epoch:', '0154', 'test cost=', '0.647351623')
('Epoch:', '0155', 'training cost=', '1563.619098999')
('Epoch:', '0155', 'test cost=', '0.662385285')
('Epoch:', '0156', 'training cost=', '1563.958530151')
('Epoch:', '0156', 'test cost=', '0.651133239')
('Epoch:', '0157', 'training cost=', '1563.749202637')
('Epoch:', '0157', 'test cost=', '0.640816212')
('Epoch:', '0158', 'training cost=', '1564.115049683')
('Epoch:', '0158', 'test cost=', '0.650671184')
('Epoch:', '0159', 'training cost=', '1563.528835693')
('Epoch:', '0159', 'test cost=', '0.642044187')
('Epoch:', '0160', 'training cost=', '1563.634601318')
('Epoch:', '0160', 'test cost=', '0.646887302')
('Epoch:', '0161', 'training cost=', '1563.687306641')
('Epoch:', '0161', 'test cost=', '0.645211041')
('Epoch:', '0162', 'training cost=', '1564.173635498')
('Epoch:', '0162', 'test cost=', '0.641215980')
('Epoch:', '0163', 'training cost=', '1563.877652710')
('Epoch:', '0163', 'test cost=', '0.644983709')
('Epoch:', '0164', 'training cost=', '1563.789511108')
('Epoch:', '0164', 'test cost=', '0.657723248')
('Epoch:', '0165', 'training cost=', '1563.594193604')
('Epoch:', '0165', 'test cost=', '0.664241493')
('Epoch:', '0166', 'training cost=', '1564.088999146')
('Epoch:', '0166', 'test cost=', '0.652488708')
('Epoch:', '0167', 'training cost=', '1563.710442383')
('Epoch:', '0167', 'test cost=', '0.643546999')
('Epoch:', '0168', 'training cost=', '1563.835839111')
('Epoch:', '0168', 'test cost=', '0.642843664')
('Epoch:', '0169', 'training cost=', '1564.132526001')
('Epoch:', '0169', 'test cost=', '0.643766880')
('Epoch:', '0170', 'training cost=', '1563.710910278')
('Epoch:', '0170', 'test cost=', '0.645170331')
('Epoch:', '0171', 'training cost=', '1564.018394287')
('Epoch:', '0171', 'test cost=', '0.673438549')
('Epoch:', '0172', 'training cost=', '1563.902497559')
('Epoch:', '0172', 'test cost=', '0.644830883')
('Epoch:', '0173', 'training cost=', '1564.219473511')
('Epoch:', '0173', 'test cost=', '0.640990674')
('Epoch:', '0174', 'training cost=', '1563.302271729')
('Epoch:', '0174', 'test cost=', '0.657819748')
('Epoch:', '0175', 'training cost=', '1563.535846558')
('Epoch:', '0175', 'test cost=', '0.640881538')
('Epoch:', '0176', 'training cost=', '1563.783189819')
('Epoch:', '0176', 'test cost=', '0.686768532')
('Epoch:', '0177', 'training cost=', '1564.340337158')
('Epoch:', '0177', 'test cost=', '0.640799880')
('Epoch:', '0178', 'training cost=', '1563.682496948')
('Epoch:', '0178', 'test cost=', '0.642765284')
('Epoch:', '0179', 'training cost=', '1563.919511230')
('Epoch:', '0179', 'test cost=', '0.652748048')
('Epoch:', '0180', 'training cost=', '1564.202647705')
('Epoch:', '0180', 'test cost=', '0.642064273')
('Epoch:', '0181', 'training cost=', '1563.614412720')
('Epoch:', '0181', 'test cost=', '0.642477930')
('Epoch:', '0182', 'training cost=', '1564.210578857')
('Epoch:', '0182', 'test cost=', '0.642035544')
('Epoch:', '0183', 'training cost=', '1563.408526123')
('Epoch:', '0183', 'test cost=', '0.641942859')
('Epoch:', '0184', 'training cost=', '1563.507653442')
('Epoch:', '0184', 'test cost=', '0.669052660')
('Epoch:', '0185', 'training cost=', '1564.265802612')
('Epoch:', '0185', 'test cost=', '0.640857279')
('Epoch:', '0186', 'training cost=', '1563.958438354')
('Epoch:', '0186', 'test cost=', '0.643245399')
('Epoch:', '0187', 'training cost=', '1563.703227539')
('Epoch:', '0187', 'test cost=', '0.644731522')
('Epoch:', '0188', 'training cost=', '1564.648760376')
('Epoch:', '0188', 'test cost=', '0.641142845')
('Epoch:', '0189', 'training cost=', '1563.794418701')
('Epoch:', '0189', 'test cost=', '0.685957432')
('Epoch:', '0190', 'training cost=', '1563.097407104')
('Epoch:', '0190', 'test cost=', '0.641232133')
('Epoch:', '0191', 'training cost=', '1563.649060669')
('Epoch:', '0191', 'test cost=', '0.680454791')
('Epoch:', '0192', 'training cost=', '1563.842874390')
('Epoch:', '0192', 'test cost=', '0.645103931')
('Epoch:', '0193', 'training cost=', '1563.887414551')
('Epoch:', '0193', 'test cost=', '0.642398775')
('Epoch:', '0194', 'training cost=', '1563.820249878')
('Epoch:', '0194', 'test cost=', '0.641575992')
('Epoch:', '0195', 'training cost=', '1564.134753662')
('Epoch:', '0195', 'test cost=', '0.641021490')
('Epoch:', '0196', 'training cost=', '1563.919556641')
('Epoch:', '0196', 'test cost=', '0.641504347')
('Epoch:', '0197', 'training cost=', '1563.862578735')
('Epoch:', '0197', 'test cost=', '0.650939763')
('Epoch:', '0198', 'training cost=', '1563.999909058')
('Epoch:', '0198', 'test cost=', '0.641967714')
('Epoch:', '0199', 'training cost=', '1563.646832886')
('Epoch:', '0199', 'test cost=', '0.645463169')
('Epoch:', '0200', 'training cost=', '1564.179268188')
('Epoch:', '0200', 'test cost=', '0.644444227')
('Epoch:', '0201', 'training cost=', '1563.424712402')
('Epoch:', '0201', 'test cost=', '0.641962528')
('Epoch:', '0202', 'training cost=', '1563.555757446')
('Epoch:', '0202', 'test cost=', '0.658393562')
('Epoch:', '0203', 'training cost=', '1564.120117065')
('Epoch:', '0203', 'test cost=', '0.645570517')
('Epoch:', '0204', 'training cost=', '1564.162799194')
('Epoch:', '0204', 'test cost=', '0.648348272')
('Epoch:', '0205', 'training cost=', '1564.126358521')
('Epoch:', '0205', 'test cost=', '0.643668592')
('Epoch:', '0206', 'training cost=', '1563.671357422')
('Epoch:', '0206', 'test cost=', '0.642283201')
('Epoch:', '0207', 'training cost=', '1563.100747803')
('Epoch:', '0207', 'test cost=', '0.641725779')
('Epoch:', '0208', 'training cost=', '1563.814853271')
('Epoch:', '0208', 'test cost=', '0.643218696')
('Epoch:', '0209', 'training cost=', '1563.504357788')
('Epoch:', '0209', 'test cost=', '0.641563118')
('Epoch:', '0210', 'training cost=', '1564.358309204')
('Epoch:', '0210', 'test cost=', '0.646333516')
('Epoch:', '0211', 'training cost=', '1564.092344360')
('Epoch:', '0211', 'test cost=', '0.649833620')
('Epoch:', '0212', 'training cost=', '1563.945011719')
('Epoch:', '0212', 'test cost=', '0.656407773')
('Epoch:', '0213', 'training cost=', '1563.401190186')
('Epoch:', '0213', 'test cost=', '0.679878831')
('Epoch:', '0214', 'training cost=', '1563.864604248')
('Epoch:', '0214', 'test cost=', '0.642772973')
('Epoch:', '0215', 'training cost=', '1564.152010498')
('Epoch:', '0215', 'test cost=', '0.640801489')
('Epoch:', '0216', 'training cost=', '1563.687845947')
('Epoch:', '0216', 'test cost=', '0.644212604')
('Epoch:', '0217', 'training cost=', '1564.139992798')
('Epoch:', '0217', 'test cost=', '0.657360375')
